system,benchmark_family,benchmark,coder_1_display_paradigm,coder_1_control_subtype,coder_1_retrieval_tag,coder_1_analysis_tag,coder_1_deployment_scenario,coder_1_evidence_location,coder_1_rationale,coder_2_display_paradigm,coder_2_control_subtype,coder_2_retrieval_tag,coder_2_analysis_tag,coder_2_deployment_scenario,coder_2_evidence_location,coder_2_rationale,adjudicated_display_paradigm,adjudicated_control_subtype,adjudicated_retrieval_tag,adjudicated_analysis_tag,adjudicated_deployment_scenario,adjudicator,adjudication_basis,notes
Huang et al.,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
Jiang et al.,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
VulMaster,Vulnerability repair datasets,CVEFixes,,,,,,,,,,,,,,,,,,,,,,
RepairCAT,Other,APR Competition 2024,,,,,,,,,,,,,,,,,,,,,,
RepairLLaMA,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
MORepair,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
Luo et al.,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
Li et al.,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
Ruiz et al.,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
KNOD,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
DistiLRR,Other,HumanEval-Perl,,,,,,,,,,,,,,,,,,,,,,
NARRepair,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
RePair,Other,CodeNet4Repair,,,,,,,,,,,,,,,,,,,,,,
SecRepair,Other,InstructVul,,,,,,,,,,,,,,,,,,,,,,
SWE-RL,SWE-bench Verified,SWE-bench Verified,,,,,,,,,,,,,,,,,,,,,,
AdaPatcher,Other,ACPR,,,,,,,,,,,,,,,,,,,,,,
Vul-R2,Vulnerability repair datasets,PrimeVul,,,,,,,,,,,,,,,,,,,,,,
TraceFixer,Other,CodeNet,,,,,,,,,,,,,,,,,,,,,,
InferFix,Other,InferredBugs,,,,,,,,,,,,,,,,,,,,,,
PyTy,Other,PyTyDefects,,,,,,,,,,,,,,,,,,,,,,
NTR,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
AlphaRepair,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
Prenner et al.,Other,Quixbugs,,,,,,,,,,,,,,,,,,,,,,
Fan et al.,Other,LMDefects,,,,,,,,,,,,,,,,,,,,,,
Tian et al.,Other,LeetCode,,,,,,,,,,,,,,,,,,,,,,
Xia et al.,Defects4J,Defects4J v1.2,,,,,,,,,,,,,,,,,,,,,,
Gao et al.,Other,B2F small,,,,,,,,,,,,,,,,,,,,,,
Ahmed et al.,Other,MODIT,,,,,,,,,,,,,,,,,,,,,,
CEDAR,Other,ATLAS,,,,,,,,,,,,,,,,,,,,,,
Ehsani et al.,Other,BugsInPy,,,,,,,,,,,,,,,,,,,,,,
RLCE,Other,RepoBugs,,,,,,,,,,,,,,,,,,,,,,
DsRepair,Other,DS-1000,,,,,,,,,,,,,,,,,,,,,,
D4C,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
Appatch,Vulnerability repair datasets,Zero-Day,,,,,,,,,,,,,,,,,,,,,,
TracePrompt,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
ChatRepair,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
ThinkRepair,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
REx,Other,LoopInv,,,,,,,,,,,,,,,,,,,,,,
ContrastRepair,HumanEval-Java,HumanEval-Java,,,,,,,,,,,,,,,,,,,,,,
CREF,Other,TutorCode,,,,,,,,,,,,,,,,,,,,,,
HULA,Other,Atlassian Jira issues,,,,,,,,,,,,,,,,,,,,,,
DRCodePilot,Other,Flink,,,,,,,,,,,,,,,,,,,,,,
Agentless,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
PATCH,Other,BFP,,,,,,,,,,,,,,,,,,,,,,
KGCompass,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
Repilot,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
SAN2PATCH,Vulnerability repair datasets,VulnLoc,,,,,,,,,,,,,,,,,,,,,,
PredicateFix,Vulnerability repair datasets,CVE,,,,,,,,,,,,,,,,,,,,,,
LLM4CVE,Vulnerability repair datasets,CVEFixes,,,,,,,,,,,,,,,,,,,,,,
SWE-Agent,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
SWE-Agent M,SWE-bench Other,SWE-bench Multimodal,,,,,,,,,,,,,,,,,,,,,,
OpenHands,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
AutoCodeRover,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
RepairAgent,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
LANTERN,Other,Rust subset of xCodeEval,,,,,,,,,,,,,,,,,,,,,,
VulDebugger,Vulnerability repair datasets,50 of ExtractFix and ARVO,,,,,,,,,,,,,,,,,,,,,,
Abstain and Validate,Other,Google,,,,,,,,,,,,,,,,,,,,,,
TSAPR,Defects4J,Defects4J v1.2/2.0,,,,,,,,,,,,,,,,,,,,,,
SpecRover,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
MAGIS,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
SWE-Search,SWE-bench Lite,SWE-bench Lite,,,,,,,,,,,,,,,,,,,,,,
Learn-by-Interact,SWE-bench Other,SWE-bench,,,,,,,,,,,,,,,,,,,,,,
